Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000522,5.22e-05,4e-05,6.9e-05,1.1135528725660043e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000612,6.12e-05,4.2e-05,9.4e-05,1.374772708486752e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000478,4.78e-05,3.6e-05,6.9e-05,1.0752260744192874e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.959088,0.6959088,7.9e-05,5.94388,1.9677913992868374,61.4,60.0,67.0,2.9514591494904874,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002208,0.0002208,6e-05,0.001201,0.0003608746319707164,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002036,0.0002036,8e-05,0.000853,0.00024534607077441537,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001312,0.0001312,3.2e-05,0.000511,0.000141939932522333,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001694,0.0001694,5.4e-05,0.000996,0.0003052068060257576,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002118,0.0002118,7e-06,0.001092,0.0003301556451130285,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001432,0.0001432,6.2e-05,0.000607,0.0001689241282680219,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000957,9.57e-05,4.3e-05,0.000291,7.38951960549534e-05,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000969,9.69e-05,5e-06,0.000178,4.924175057814253e-05,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001670,0.000167,9.3e-05,0.000536,0.00013926064690995005,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001686,0.0001686,1.1e-05,0.000874,0.0002625023809415831,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002748,0.0002748,6e-06,0.001767,0.0005717352971437045,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000514,5.14e-05,5e-06,0.000159,5.499191859820051e-05,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000931,9.31e-05,8e-06,0.000451,0.000145560220451117,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
